10.80263900756836,73.52154541015625,11.066545486450195,80.39653778076172,13.319526672363281,76.49083709716797,13.515857696533203,83.0019302368164
13.515857696533203,83.0019302368164,13.712187767028809,89.51299285888672,-11.729391098022461,99.65205383300781,-18.527990341186523,83.74597930908203
-18.527990341186523,83.74597930908203,-21.927278518676758,75.79296875,-21.409345626831055,73.47525787353516,-21.75718879699707,68.69842529296875
-21.75718879699707,68.69842529296875,-22.105031967163086,63.921592712402344,-21.89794921875,56.63507080078125,-23.270606994628906,51.6529541015625
-23.270606994628906,51.6529541015625,-26.015913009643555,41.68875503540039,-28.548906326293945,39.04634475708008,-30.932262420654297,27.5618896484375
-30.932262420654297,27.5618896484375,-33.315608978271484,16.07748031616211,-32.0039176940918,10.703429222106934,-33.886024475097656,0.978020429611206
-33.886024475097656,0.978020429611206,-35.768123626708984,-8.747354507446289,-37.351558685302734,-18.559486389160156,-39.525028228759766,-28.223957061767578
-39.525028228759766,-28.223957061767578,-41.698490142822266,-37.88839340209961,-45.67496109008789,-46.518898010253906,-49.81615447998047,-55.51759338378906
-49.81615447998047,-55.51759338378906,-53.95732879638672,-64.51625061035156,-57.18081283569336,-73.29581451416016,-56.16942596435547,-88.30167388916016
-56.16942596435547,-88.30167388916016,-55.158042907714844,-103.3074722290039,-52.33152389526367,-95.73668670654297,-52.428314208984375,-114.72013092041016
-52.428314208984375,-114.72013092041016,-52.52510452270508,-133.70350646972656,-69.14398956298828,-146.85267639160156,-72.82721710205078,-153.9522705078125
-72.82721710205078,-153.9522705078125,-76.51042938232422,-161.0518341064453,-73.0959701538086,-163.41839599609375,-76.88802337646484,-168.79824829101562
-76.88802337646484,-168.79824829101562,-80.6800537109375,-174.17807006835938,-80.55326080322266,-176.20359802246094,-80.80948638916016,-179.53627014160156
-80.80948638916016,-179.53627014160156,-81.06571197509766,-182.86892700195312,-80.9731216430664,-184.88485717773438,-84.07837677001953,-189.2359161376953
-84.07837677001953,-189.2359161376953,-87.18360900878906,-193.58694458007812,-87.89646911621094,-194.177490234375,-89.85135650634766,-201.11444091796875
-89.85135650634766,-201.11444091796875,-91.80622863769531,-208.0513458251953,-92.28176879882812,-211.5739288330078,-90.08092498779297,-218.4368133544922
-90.08092498779297,-218.4368133544922,-87.88009643554688,-225.29965209960938,-85.19055938720703,-231.7084197998047,-85.75843811035156,-238.8931427001953
-85.75843811035156,-238.8931427001953,-86.32630920410156,-246.0778045654297,-87.04559326171875,-254.88299560546875,-88.78865814208984,-261.87615966796875
-88.78865814208984,-261.87615966796875,-90.53170776367188,-268.8692626953125,-91.85124969482422,-276.6360778808594,-93.73857879638672,-282.0273742675781
-93.73857879638672,-282.0273742675781,-95.62590026855469,-287.41864013671875,-95.43721771240234,-290.3047180175781,-96.2000503540039,-292.9138488769531
-96.2000503540039,-292.9138488769531,-96.96287536621094,-295.52294921875,-98.40489196777344,-299.8077087402344,-98.5048828125,-302.3121643066406
-98.5048828125,-302.3121643066406,-98.60487365722656,-304.81658935546875,-101.40593719482422,-311.07269287109375,-102.92204284667969,-312.4934387207031
-102.92204284667969,-312.4934387207031,-104.43814849853516,-313.9141845703125,-105.6800537109375,-314.98590087890625,-109.71943664550781,-316.01702880859375
-109.71943664550781,-316.01702880859375,-113.75881958007812,-317.04815673828125,-120.21484375,-317.5646057128906,-123.69602966308594,-324.57867431640625
-123.69602966308594,-324.57867431640625,-127.17721557617188,-331.5927429199219,-127.97795104980469,-339.61517333984375,-126.38127899169922,-342.03271484375
-126.38127899169922,-342.03271484375,-124.78460693359375,-344.45025634765625,-123.08694458007812,-345.889892578125,-120.2052230834961,-345.5906677246094
-120.2052230834961,-345.5906677246094,-117.32350158691406,-345.29144287109375,-113.56230163574219,-341.41900634765625,-109.12860870361328,-340.9586181640625
-109.12860870361328,-340.9586181640625,-104.69489288330078,-340.49822998046875,-104.02969360351562,-342.42596435546875,-99.59600830078125,-341.965576171875
-99.59600830078125,-341.965576171875,-95.16229248046875,-341.50518798828125,-92.223388671875,-336.7209167480469,-92.07616424560547,-331.1222229003906
-92.07616424560547,-331.1222229003906,-91.92893981933594,-325.5234680175781,-90.42548370361328,-324.93505859375,-85.39476776123047,-319.16046142578125
-85.39476776123047,-319.16046142578125,-80.36397552490234,-313.3857727050781,-76.01744079589844,-303.2826232910156,-75.01988220214844,-295.2161865234375
-75.01988220214844,-295.2161865234375,-74.02230834960938,-287.14959716796875,-81.2944564819336,-281.3580322265625,-79.23011779785156,-271.8292541503906
-79.23011779785156,-271.8292541503906,-77.16573333740234,-262.3002624511719,-71.1690902709961,-263.041259765625,-69.5406265258789,-250.71585083007812
-69.5406265258789,-250.71585083007812,-67.91211700439453,-238.39010620117188,-69.7397689819336,-234.8047332763672,-67.92947387695312,-222.50469970703125
-67.92947387695312,-222.50469970703125,-66.11913299560547,-210.204345703125,-62.28112030029297,-190.73399353027344,-57.96427917480469,-179.07498168945312
-57.96427917480469,-179.07498168945312,-53.64731979370117,-167.4156494140625,-47.52263259887695,-157.23419189453125,-45.30332565307617,-150.6854248046875
-45.30332565307617,-150.6854248046875,-43.08395767211914,-144.136474609375,-44.262664794921875,-139.1348876953125,-41.656768798828125,-134.08258056640625
-41.656768798828125,-134.08258056640625,-39.05079650878906,-129.03012084960938,-37.95039367675781,-129.83407592773438,-36.764259338378906,-125.12193298339844
