Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score
37,51,Univ of Southern California,,51.2,18.8,70,4.5,39.6,60.7,,,244.7
38,17,McGill Univ,,81.7,57.1,100,,,,,,238.8
39,7,National Univ of Singapore,,70,60,105,,,,,,235.0
40,89,North Carolina State Univ - Raleigh,,64,56,115,,,,,,235.0
41,29,Columbia Univ,,64.7,69.2,75,4.5,3.5,,16,,232.9
42,110,Universit� Laval,,83,16.5,45,4.5,16.6,61.5,1,,228.1
43,115,Toronto Metropolitan University,,72.6,65.1,90,,,,,,227.7
44,100,Univ of Calif - Berkeley,,73.1,70.1,80,,,,,,223.2
45,74,Iowa State Univ,,72.4,43.1,105,,,,,,220.5
46,109,Univ of Nevada - Reno,,52.2,14.5,45,45.4,37.7,0,25,,219.7
47,32,Michigan State University,,90.4,33.5,95,,,,,,218.8
48,96,Univ of Calif - Santa Cruz,,67.7,49.3,100,,,,,,217.0
49,68,Univ of Alberta,,56.1,19.3,85,4.5,3.5,46.3,,,214.8
50,57,Univ of Calif - Davis,,90.5,42.4,80,,,,,,212.9
51,25,Univ of Toronto,,60.4,50.7,100,,,,,,211.1
52,23,Univ of Minnesota - Twin Cities,,71.9,47.8,80,,,,,,199.6
53,10,Purdue Univ - W Lafayette,,65.1,17.2,110,,,,,,192.3
54,24,California State Poly Univ - Pomona,,42.1,32.8,65,,,,14,37,190.9
55,102,Univ of Waterloo,,77.7,31.1,80,,,,,,188.8
56,101,McMaster Univ,,80,17,90,,,,,,186.9
57,33,San Diego State Univ,,72,29.2,85,,,,,,186.2
58,73,Missouri University of Science and Tech,,78.3,19.4,55,4.5,3.5,6.5,14,,181.2
59,42,Univ of Victoria,,57.8,30.3,90,,,,,,178.1
60,61,Rutgers Univ,,83.3,16.3,75,,,,,,174.5
61,105,Western University,,58,18.4,85,0,3.5,0,2,,166.9
62,18,Univ of Cincinnati,,34,51.1,80,,,,,,165.1
63,64,Univ of Calif - San Diego,,77.1,16.3,65,,,,,,158.4
64,60,Univ of British Columbia - Okanagan,,82.6,16.1,55,,,,,,153.7
65,75,Texas Tech Univ,,75.3,17.8,60,,,,,,153.1
66,95,Univ of Manitoba,,78,19.8,55,,,,,,152.8
67,85,Univ of British Columbia,,68.2,12.8,65,,,,,,146.0
68,71,Northeastern Univ,,45.8,15.6,80,,,,1,,142.5
69,48,Penn State Univ - University Park,,53.3,14.9,70,,,,,,138.2
70,94,Univ of Calif - Irvine,,44.8,20,70,,,,,,134.8
71,37,Clarkson University,,55.7,11.5,65,,,,,,132.2
72,88,Univ of Michigan - Dearborn,,80.6,5,45,,,,,,130.6
73,47,Univ of Windsor,,71.8,16.5,40,,,,,,128.4
74,77,Univ of Puerto Rico-Mayaquez,,55.3,18.6,50,,,,,,123.9
75,16,California Baptist University,,42.6,15.6,65,,,,,,123.3
76,58,Queen's Univ,,67.5,15.2,40,,,,,,122.7
77,80,Colorado State University,,60.4,17.9,40,,,,,,118.2
78,12,Univ of North Texas,,62.7,18.9,35,,,,,,116.6
79,117,Univ of Colorado - Boulder,,2.5,48.9,55,,,,,,106.4
80,52,Drexel Univ,,65.9,14.6,25,,,,,,105.5
81,40,Universite Du Quebec a Trois-Rivieres,,56.3,14.5,25,,,,,,95.8
82,83,Santa Clara Univ,,26.6,36.8,30,,,,,,93.4
83,63,Rose Hulman Institute of Technology,,34,13.9,40,,,,,,87.9
84,82,Brigham Young University,,,15.2,55,,,,,,70.2
85,81,Western Michigan Univ,,10.9,15,35,,,,,,60.9
86,76,Saint Louis University,,,11.1,10,,,,,,21.1
87,69,Univ of Nevada - Las Vegas,,,14.9,,,,,,,14.9
88,59,California Institute of Technology,-20,2.5,12.7,10,,,,,,10.0
,13,Elon Univ,,,9.6,,,,,,,pres only
,15,Illinois Institute of Technology,,,13.4,,,,,,,pres only
,20,Cooper Union for Adv Science & Art,,,41.4,,,,,,,pres only
,27,Virginia Tech,,,18.2,,,,,,,pres only
,28,Univ of Virginia,,,36.8,,,,,,,pres only
,34,Univ of Calif - Riverside,,,11.7,,,,,,,pres only
,36,Washington State University Vancouver,,,5,,,,,,,pres only
,39,Univ of California-Merced,,,11.6,,,,,,,pres only
,45,Cleveland State Univ,,,19.8,,,,,,,pres only
,49,Universidad de Piura,,,36,,,,,,,pres only
,54,Univ of Texas - Dallas,,,19.8,,,,,,,pres only
,55,Rowan Univ,,,13.6,,,,,,,pres only
,67,Univ of Hawaii - Manoa,,,5,,,,,,,pres only
,72,Binghamton Univ,,,18.8,,,,,,,pres only
,78,Kettering Univ,,,25,,,,,,,pres only
,90,The Ohio State University,,,51.3,,,,,,,pres only
,91,Univ of Alabama - Tuscaloosa,,,16.1,,,,,,,pres only
,107,Universidad Politecnica de Chihuahua,,,18,,,,,,,pres only
,114,Conestoga College,,,8.1,,,,,,,pres only
,118,Univ of Georgia,,,26,,,,,,,pres only
