Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score
,,,,,,,3.697,4.782,43.937,1312.281,59.649|0.0840|0.289|0.797,
1,1,Oregon State Univ,,89.1,75,134,81.8,67.7,124.4,275,48.6,895.5
2,8,Rochester Institute of Technology,,78.4,73.4,141,95.1,75,125,216.5,52.3,856.7
3,6,Univ of Pittsburgh - Pittsburgh,,86.5,17.6,140,83.4,56.1,117,206.5,100,807.2
4,46,Carnegie Mellon Univ,,98,30.2,143,93.7,55,109.4,186.2,41.4,756.9
5,103,Univ of Connecticut,,91.8,70.6,90,52.9,65.1,118.2,202.2,66.1,756.8
6,38,Univ of Wisconsin - Madison,,84.2,15,150,100,56.6,121.6,158.1,58.4,743.9
7,62,California Polytechnic State Univ-SLO,,84.1,37.4,120,45.8,45.5,101.6,227.3,55.8,717.5
8,30,Kookmin Univ,,63.4,33.7,132,47.1,52.6,106.1,218.1,43,696.0
9,19,Cornell Univ,,83.1,19.1,138,89.4,24.9,97.7,186.8,42.2,681.3
10,65,Univ of Michigan - Ann Arbor,,85,70.7,115,57.3,50.5,101.4,151.3,40.1,671.3
11,99,Ecole de Technologie Superieure,,77.8,68,138,98.6,56.3,115,15,57.1,625.8
12,98,Texas A&M Univ,,62.5,19.5,115,66.9,43.9,118.8,154.9,28.2,609.7
13,14,Univ of Akron,,68.5,30.1,90,93.8,42.1,49.3,202.3,,576.1
14,5,Univ of Washington,,89.8,52.6,146,90.8,69.4,107.8,6,,562.4
15,70,Univ of Pennsylvania,,89.7,75,139,61,36.5,0,104.1,37.6,543.0
16,111,Auburn Univ,,46.6,15.5,100,79.1,51.6,94.2,112.1,28.7,527.8
17,26,Western Washington Univ,,90.2,18.8,65,31.4,24,78.2,129.2,71.7,508.5
18,21,Univ of Kansas - Lawrence,,69.7,16.5,65,55.6,51.8,102.2,81.5,49.3,491.6
19,43,Concordia University,,94.6,48.1,95,47.8,45.8,81.8,24,38,475.1
20,9,Massachusetts Inst of Tech,,52.3,68.5,105,75.1,51.1,99.9,10,,462.0
21,86,Rensselaer Polytechnic Inst,,67.5,49.3,65,4.5,21.8,64.7,67.4,89.2,429.4
22,112,Northwestern Univ,,85.2,62,95,,,6.5,111.1,34.4,394.3
23,2,San Jose State University,,81.3,20,115,,50.9,117.4,7,,391.5
24,93,Univ of Calgary,,63.6,37.4,100,50.4,24.2,70.2,25,,370.7
25,79,Univ of Maryland - College Park,,69.5,18.8,100,66.5,29.6,74.4,6,,364.8
26,66,Univ of Calif - Los Angeles,,77.1,46.3,105,4.5,35.3,65.3,25,,358.5
27,35,Univ of North Carolina - Charlotte,,69.5,56.6,80,24.8,31.1,37.9,24,,324.0
28,87,Univ of Florida,,56.7,55.3,120,,23.6,42.5,6,,304.0
29,108,Univ of New Mexico,,74.1,58.6,70,50.7,3.5,6.5,25,,288.4
30,104,Univ of Calif - Santa Barbara,,72,33.5,55,39.5,5.4,51.5,25,,281.9
31,3,Georgia Institute of Technology,,94.8,59.7,120,,,,,,274.5
32,56,Louisiana State Univ,,79.4,45.5,50,25.4,20.2,36.7,17,,274.2
33,4,Ecole Polytechnique Montreal,,80.7,57.4,135,,,,,,273.1
34,113,Kennesaw State University,,91.5,19.4,85,0,37.4,0,25,,258.2
35,97,Univ of Texas - Austin,,89.9,56.1,105,,,,,,251.0
36,92,Univ of Illinois - Urbana Champaign,,85.2,16.9,144,,,,,,246.1
