Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score
79,288,Univ of Ontario Institute of Tech,-120,40.9,19.3,50,,,,,,20.0
,220,Univ of Manitoba,,,20,,,,,,,pres only
,224,Brigham Young University,,,43.5,,,,,,,pres only
,227,Univ of Guelph,,,19,,,,,,,pres only
,238,Cooper Union,,,17.3,,,,,,,pres only
,256,Univ of Texas - Arlington,,,67.2,,,,,,,pres only
,260,Iowa State Univ,-20,,20,,,,,,,pres only
,269,Virginia Commonwealth Univ,,,20,,,,,,,pres only
,273,Central Michigan Univ,,,0.1,,,,,,,pres only
,276,Univ of Calif - Irvine,-20,,16.3,,,,,,,pres only
,277,Universite de Sherbrooke,,,15.8,,,,,,,pres only
,278,Rose Hulman Inst of Tech,,,18.8,,,,,,,pres only
,283,Univ of Puerto Rico-Mayaquez,,,20,,,,,,,pres only
,286,Univ of Nevada - Las Vegas,,,14.3,,,,,,,pres only
,290,Universidad Politecnica de Chihuahua,,,20,,,,,,,pres only
,295,Clarkson University,,,10.2,,,,,,,pres only
,297,Saint Louis Univ,,,12.6,,,,,,,pres only
,300,Santa Clara Univ,,,20,,,,,,,pres only
,304,Illinois Institute of Technology,,,15.1,,,,,,,pres only
,306,Queen's Univ,,,19.3,,,,,,,pres only
,308,Universidad Nacional Aut�noma de M�xico,,,17.4,,,,,,,pres only
,302,Kettering Univ,,,,,,,,,,withdrawn
