x,y,k,s,dk
19.479309390068053,10.994623963356018,0.31853203476469377,0,0
19.729000283954427,11.00242153325871,-0.2622118705855493,0.2843507921106968,1.1374031684427872
19.977870188675197,11.026614982702398,-0.22179076813912055,0.5092018221997123,0.8994041203560621
20.225009574924364,11.064322344666532,-0.17790599552041977,0.825037948006595,1.2633445032275308
20.470130584056083,11.113268504954085,-0.1513447601909859,1.0741427757699888,0.9964193110535753
20.713235773229602,11.171683220898737,-0.1292576793186092,1.333776648387646,1.038535490470629
20.954193921784825,11.238108199206932,-0.11663102921973265,1.5126949676313213,0.7156732769747007
21.193126257643314,11.311411451051613,-0.10033369517547727,1.7897384868575543,1.1081740769049322
21.430261535134672,11.39071178551027,-0.086694192723224,2.077041308954065,1.1492112883860424
21.665538765498972,11.475195867230855,-0.07883531690166502,2.2741783959504724,0.7885483479856301
21.89913811399566,11.56425803643643,-0.06859657189280266,2.57811224929238,1.2157354133676304
22.13113052187495,11.657357271868433,-0.06265604475089016,2.786105849222801,0.831974399721684
22.36176758313782,11.754110800787206,-0.054860686955563356,3.1059381419830046,1.2793291710408141
22.59083064097769,11.854004982782818,-0.05030354728712799,3.324253053501431,0.8732596460737057
22.818692542831375,11.956834173767643,-0.04618731132539888,3.5465291971684,0.8891045746678756
23.045401952904783,12.062302892894058,-0.0424600787604661,3.772664897285209,0.9045428004672367
23.27101287385399,12.170154871596752,-0.039076649677014116,4.002555012845564,0.9195604622414191
23.49548867350192,12.280120376772922,-0.034561275872357154,4.354192159047487,1.406548584807691
23.71899704518689,12.39205620232025,-0.031875569191553633,4.592988724538046,0.9551862619622362
23.941609987271367,12.505797870947768,-0.029415982485956234,4.835149267089557,0.9686421702060457
24.16338090227573,12.621191807591336,-0.02715772182774706,5.080556955229251,0.9816307525587753
24.384362009590088,12.73810114053854,-0.025078967662958366,5.329093026950889,0.9941442868865522
24.604603864520737,12.856403219068127,-0.023160473944099116,5.58063697664709,1.0061757987848026
24.824155030096364,12.975987525453608,-0.021385224058162317,5.835066722353164,1.0177189828242987
25.04306186675041,13.096753915063235,-0.019738135214854416,6.092258755778689,1.0287681337020977
25.261368412563296,13.218611129893507,-0.018205804144527014,6.352088277267466,1.0393180859551094
25.479116332699416,13.341475540396852,-0.016776287994627322,6.614429317541611,1.0493641610965803
25.696344921352967,13.465270078277587,-0.01543891521518508,6.8791548478413995,1.0589021211991536
25.913047175192517,13.589897933452843,-0.014801754639311406,7.012371835344897,0.5328679500139906
26.129288982069,13.715310113289778,-0.013584971652772634,7.280433847856183,1.0722480500451432
26.3451178839203,13.841452986779288,-0.012438194559826372,7.550558777296811,1.0804997177625104
26.56056589624017,13.968268888088481,-0.011354048519445617,7.822616617463054,1.0882313606649738
26.775662948244634,14.09570325269258,-0.010325845631642632,8.096476688458193,1.0954402839805546
26.990437021663542,14.223704202883841,-0.009347497106001232,8.372007703895411,1.1021240617488743
27.20489069319231,14.352208014063462,-0.00887526011671605,8.510358638334964,0.5534037377582095
27.419040718804666,14.481162279678664,-0.007961399553131283,8.788148733606555,1.1111603810863642
27.63295092533809,14.610545758815212,-0.007084308069905144,9.067279301036772,1.1165222697208677
27.846643753127438,14.740314816354433,-0.006239442412397032,9.34761739318243,1.1213523685826345
28.06014032120116,14.870427080292536,-0.0054225743573989744,9.629029704329108,1.125649244586711
28.273434061907516,15.000825037066429,-0.005023392909024376,9.770096947441136,0.5642689724481116
28.486564605748924,15.131480934402347,-0.004241171028753836,10.052869968212676,1.131092083086159
28.69956849473553,15.262366618065998,-0.00347746483914382,10.336382673618157,1.1340508216219263
28.912463420691203,15.393443553645385,-0.0027288152159671572,10.620500853113958,1.136472717983203
29.12525870759056,15.52466898265227,-0.0023590944448575115,10.762745008221762,0.568976620431215
29.337974827047226,15.656007771712499,-0.0016268386096031295,11.047519399965685,1.1390975669756926
29.55064551272445,15.787433589237427,-0.0009015300315005788,11.332563093663675,1.1401747747919586
29.76328673915689,15.918909562094992,-0.0001800608205011897,11.617741460852539,1.1407134687554574
29.97591534215375,16.05039959093834,0.00018019500062854387,11.760339064721325,0.5703904154751456
30.188557670189986,16.181873538292706,0.0009016642343876839,12.045466944485447,1.1405115190564885
30.401232015581954,16.31329619487348,0.0016269728646428805,12.330392847388234,1.1397036116111465
30.613954352325134,16.44463066517576,0.002359228779148907,12.614982176729317,1.1383573173643313
30.826746704061826,16.575843367695356,0.0027289495989485683,12.75710858873553,0.5685056480248534
31.03964999648199,16.706911741874674,0.0034775993346425984,13.040940898352227,1.1353292384667881
31.25266478589034,16.837787563230354,0.004241305651808264,13.324100623070661,1.1326388988737364
31.465808760794115,16.96843222628874,0.005023527666984094,13.606453650436713,1.1294121094642051
31.679100424687213,17.098806483046374,0.005827896814723295,13.887866094425224,1.1256497759540451
31.892608249937254,17.228900136085574,0.006239577364842292,14.028177830441589,0.5612469440654593
32.10631895440008,17.358651432311362,0.007084443128613025,14.307928961829518,1.1190045255517163
32.320249498400464,17.488015336200505,0.00796153468140095,14.586406064967926,1.1139084125536343
32.53442230844401,17.616948061675537,0.008875395258899807,14.86347638977544,1.1082812992300575
32.74886488714413,17.745406496817914,0.00934763222735845,15.001442642803566,0.5518650121125006
32.963663270162016,17.873379579467127,0.010325980639630599,15.276154855092068,1.0988488491540096
33.17878694324162,18.000783515998652,0.01135418329333973,15.549130426171466,1.091902284317591
33.39426385012222,18.127566182264637,0.012438328943776418,15.820238364930235,1.0844317550350766
33.6101238742288,18.25367273637981,0.013585105449121324,16.089348319684238,1.0764398190160094
33.82639897566558,18.379045200375934,0.014801887600647528,16.356330648160974,1.0679293139069443
34.04312332173632,18.50362197249207,0.01609683744450859,16.621056493608748,1.0589033817910973
34.26034369161259,18.627343086461615,0.016776419106908438,16.752533202537187,0.5259068357137551
34.478127110716436,18.75015346579244,0.018205933518646557,17.0136346417013,1.0444057566564595
34.696470854039106,18.871951570677364,0.019738262341326897,17.27216145743284,1.034107262926156
34.915416437821975,18.992653211030817,0.021385348317579315,17.527988250970395,1.0233071741502187
35.135007722008154,19.112166495746493,0.02316059458551171,17.780990852511497,1.012010406164407
35.35529085399453,19.230390564079972,0.025079083777769868,18.031046449349333,1.000222387351343
35.57631414211491,19.3472140870226,0.027157832318137495,18.27803372812021,0.9879491150835094
35.79812783727452,19.46251349322454,0.029416086026563155,18.521833033154344,0.9751972201365362
36.02078379516087,19.576150864445736,0.03187566418292054,18.762326543231683,0.9619740403093573
36.244339033595736,19.68797343788733,0.03599767750616447,19.11661576426702,1.4171568841413489
36.468955532063205,19.79785897623983,0.03907671395310992,19.34834320897465,0.9269097788305203
36.694612209604024,19.905570478203288,0.04246012579194373,19.576370014761803,0.9121072231486096
36.92136538029295,20.01088280920594,0.046187337369911256,19.800589446461313,0.8968777267980386
37.14926813953607,20.113537597324733,0.05030354781373389,20.020898047975546,0.881234406056933
37.37848078337001,20.21328508303734,0.057322858369490276,20.343810956484678,1.2916516340365263
37.609169812264824,20.309826584147004,0.06265595481784629,20.55391499846767,0.8404161679319628
