x,y,k,s
0,0,0,0
0.2499761763508195,-0.002988858059085331,-0.09564801530368244,0.25
0.499809427152281,-0.011953723336771915,-0.09564801530368244,0.5
0.7493569085736659,-0.026889470111427727,-0.09564801530368244,0.75
0.9984759401748076,-0.04778755877002183,-0.09564801530368244,1.0
1.2470240864845872,-0.07463604069070762,-0.09564801530368244,1.25
1.4948592384393666,-0.10741956507452599,-0.09564801530368244,1.5
1.7418396946347954,-0.14611938772232413,-0.09564801530368244,1.75
1.987824242344534,-0.19071338175188224,-0.09564801530368244,2.0
2.232672238259576,-0.2411760502491056,-0.09564801530368244,2.25
2.4762436889019965,-0.29747854084604874,-0.09564801530368244,2.5
2.718399330667167,-0.3595886622174582,-0.09564801530368244,2.75
2.9590007094486412,-0.427470902486375,-0.09564801530368244,3.0
3.1979102598002207,-0.5010864495282821,-0.09564801530368244,3.25
3.434991383589918,-0.5803932131622052,-0.09564801530368244,3.5
3.670108528100853,-0.6653458492160507,-0.09564801530368244,3.75
3.903127263534422,-0.7558957854524362,-0.09564801530368244,4.0
4.1302149874071725,-0.8472807491207593,0,4.244785714285714
4.357302711279923,-0.9386657127890825,0,4.489571428571429
4.584390435152674,-1.0300506764574058,0,4.734357142857143
4.811478159025424,-1.1214356401257288,0,4.9791428571428575
5.038565882898174,-1.212820603794052,0,5.223928571428571
5.265653606770925,-1.3042055674623754,0,5.468714285714286
5.492741330643676,-1.3955905311306984,0,5.7135
5.719829054516426,-1.4869754947990215,0,5.958285714285714
5.946916778389177,-1.578360458467345,0,6.203071428571429
6.174004502261928,-1.669745422135668,0,6.447857142857143
6.401092226134677,-1.761130385803991,0,6.692642857142857
6.6281799500074285,-1.8525153494723143,0,6.937428571428572
6.85526767388018,-1.9439003131406376,0,7.182214285714286
7.08235539775293,-2.0352852768089607,0,7.427
7.3038970189797405,-2.1205283368125407,0.12874983906270115,7.664384615384615
7.52794007376625,-2.1989616130191694,0.12874983906270115,7.90176923076923
7.754275297300648,-2.270511845738648,0.12874983906270115,8.139153846153846
7.982691283797532,-2.335112204307558,0.12874983906270115,8.37653846153846
8.212974683959043,-2.39270234951167,0.12874983906270115,8.613923076923076
8.444910404251281,-2.4432284899450885,0.12874983906270115,8.851307692307692
8.678281807809933,-2.4866434322534827,0.12874983906270115,9.088692307692307
8.912870916787417,-2.522906625214497,0.12874983906270115,9.326076923076922
9.14845861595255,-2.5519841976141437,0.12874983906270115,9.563461538461539
9.384824857352585,-2.573848989883822,0.12874983906270115,9.800846153846154
9.621748865846458,-2.588480579468393,0.12874983906270115,10.038230769230768
9.85900934531723,-2.595865299901634,0.12874983906270115,10.275615384615385
10.096384685371149,-2.5959962535712364,0.12874983906270115,10.513
10.346315902315606,-2.5923145149275433,0,10.762958333333334
